title,abstract
Cox–Forbes theory,The Cox–Forbes theory is a long-debunked theory on the evolution of chess put forward by Captain Hiram Cox (1760–1799)Cox's Bazar in Bangladesh commemorates Captain Cox. and extended by Professor Duncan Forbes (1798–1868).
Chess in early literature,"One of the most common ways for chess historians to trace when the board game chess entered a country is to look at the literature of that country. Although due to the names associated with chess sometimes being used for more than one game (for instance Xiang-qi in China and Tables in England), the only certain reference to chess is often several hundred years later than uncertain earlier references."
List of chess openings,"This is a list of chess openings, organized by the Encyclopaedia of Chess Openings () code. In 1966, Chess Informant categorized the chess openings into five broad areas (""A"" through ""E""), with each of those broken down into one hundred subcategories (""00"" through ""99"")."
Three-dimensional chess,"Three-dimensional chess (or 3D chess) is any chess variant that uses multiple boards representing different levels, allowing the chess pieces to move in three physical dimensions. In practical play, this is usually achieved by boards representing different layers being laid out next to each other."
Brains in Bahrain,"Brains in Bahrain was an eight-game chess match between World Chess Champion Vladimir Kramnik and the computer program Deep Fritz 7, held in October 2002. The match ended in a tie 4-4, with two wins for each participant and four draws."
Chess Olympiad,"thumb|right|350px|[[35th Chess Olympiad, Bled 2002]]"
Mak-yek,"Mak-yek (, ) is a two-player abstract strategy board game played in Thailand (formerly called Siam) and Myanmar (formerly called Burma).  Players move their pieces as in the rook in Chess and attempt to capture their opponent's pieces through custodian and intervention capture."
Bughouse chess,"Bughouse chess (also known as exchange chess, Siamese chess, tandem chess, transfer chess, double bughouse, cross chess, swap chess or simply bughouse or bug) is a popular chess variant played on two chessboards by four players in teams of two.Other less common names for bughouse include Team chess, Hungarian chess, Swedish chess, New England Double bughouse, Pass-On chess, Tandem Put-Back, Double Speed, Double chess, Double Five, Simultaneous chess, Double bug or Double bughouse (von Zimmerman (2006), front; Manson and Hoover (1992), p."
Chess endgame,"In chess and chess-like games, the endgame (or end game or ending) is the stage of the game when few pieces are left on the board."
Losing Chess,"Losing Chess (also known as Antichess, the Losing Game, Giveaway Chess, Suicide Chess, Killer Chess, Must-Kill, Take-All Chess, Capture Chess or Losums) is one of the most popular chess variants.Pritchard (2007), p."
Chess or the King's Game,Chess or the King's Game () is a book on chess.https://www.
Glossary of chess,"This page explains commonly used terms in chess in alphabetical order. Some of these have their own pages, like fork and pin."
Chess columns in newspapers,"The earliest known chess column appeared in the Lancet in 1823, but due to lack of popularity disappeared after less than a year."
Feng-hsiung Hsu,"Feng-hsiung Hsu () (nicknamed Crazy Bird)Computer History Museum. ""Mastering the Game a History of Computer Chess."
World Chess Championship,"The World Chess Championship (sometimes abbreviated as WCC) is played to determine the world champion in chess. Since 2014, the schedule has settled on a two-year cycle with a championship held in every even year."
Atomic chess,"Atomic chess is a chess variant. Standard rules of chess apply, but all captures result in an ""explosion"" through which all surrounding white and black pieces other than pawns are removed from play."
Junior,"Junior is a computer chess program written by the Israeli programmers Amir Ban and Shay Bushinsky. Grandmaster Boris Alterman assisted, in particular with the opening book."
Chess game collection,The most common types of chess game collections are collected games of a single player (e.g.
Gambit,"A gambit (from ancient Italian gambetto, meaning ""to trip"") is a chess opening in which a player, more often White, sacrifices , usually a pawn, with the hope of achieving a resulting advantageous position.Edward R."
Null-move heuristic,"In computer chess programs, the null-move heuristic is a heuristic technique used to enhance the speed of the alpha-beta pruning algorithm."
Henry Bird,"Henry Edward Bird (Portsea in Hampshire, 14 July 1830 – 11 April 1908) was an English chess player, and also an author and accountant. He wrote a book titled Chess History and Reminiscences, and another titled An Analysis of Railways in the United Kingdom."
List of world records in chess,"This is a list of world records in chess as achieved in organized tournament, match, or simultaneous exhibition play."
Chinese chess,"Chinese chess primarily refers to xiangqi, a two-player Chinese game in a family of strategic board games of which Western chess, Indian chaturanga, Japanese shogi, and the more similar Korean janggi are also members. This may also refer to:"
Monster chess,"Monster chess—or Super King chess—is a chess variant in which the White side has only a king and four pawns to fight against all the pieces of the Black side. All the rules of chess apply, except that White makes two successive moves per turn."
List of chess historians,This is a list of chess historians.
Babson task,"The Babson task is a particular type of chess problem, namely, a directmate with the following properties:"
Correspondence chess,"Correspondence chess is chess or variant chess played by various forms of long-distance correspondence, often through a correspondence chess server, a public internet chess forum, email, or the postal system. Less common methods that have been employed include fax and homing pigeon."
Johann Nepomuk Maelzel,"Johann Nepomuk Maelzel (or Mälzel; August 15, 1772 – July 21, 1838) was a German inventor, engineer, and showman, best known for manufacturing a metronome and several music automatons, and displaying a fraudulent chess machine. He worked with Beethoven to compose a song."
Zugzwang,"Zugzwang (German for ""compulsion to move"", ) is a situation found in chess and other games wherein one player is put at a disadvantage because they must make a move when they would prefer to pass and not move. The fact that the player is compelled to move means that their position will become significantly weaker."
Milan Vukcevich,"Milan R. Vukcevich (born Milan Radoje Vukčević; March 11, 1937 – May 10, 2003) was a Serbian-American chemist, a grandmaster of chess problem composition and writer."
The Game of the Century,"In chess, The Game of the Century is a chess game played between 26-year-old Donald Byrne and 13-year-old Bobby Fischer in the Rosenwald Memorial Tournament in New York City on October 17, 1956, which Fischer won. The competition took place at the Marshall Chess Club."
Transposition table,"In computer chess and other computer games, transposition tables are used to speed up the search of the game tree. Transposition tables are primarily useful in perfect-information games (where the entire state of the game is known to all players at all times)."
Grand Chess,"Grand Chess is a large-board chess variant invented by Dutch games designer Christian Freeling in 1984.  It is played on a 10×10 board, with each side having two additional pawns and two new pieces: the marshal and the cardinal."
Emanuel Lasker,"Emanuel Lasker (December 24, 1868 – January 11, 1941) was a German chess player, mathematician, and philosopher who was World Chess Champion for 27 years, from 1894 to 1921, the longest reign of any officially recognised World Chess Champion in history. In his prime, Lasker was one of the most dominant champions, and he is still generally regarded as one of the strongest players ever."
Allumwandlung,"Allumwandlung (German for ""complete promotion"", sometimes abbreviated AUW) is a chess problem theme where, at some stage in the solution, a pawn (or sometimes pawns) is promoted variously to a queen, rook, bishop, and knight. Allumwandlung's main requirement is promotion, either a white pawn or a black pawn."
Fairy chess piece,"A fairy chess piece, variant chess piece, unorthodox chess piece, or heterodox chess piece is a chess piece not used in conventional chess but incorporated into certain chess variants and some chess problems. Fairy pieces vary in the way they move."
Glossary of chess problems,"This page explains commonly used terms in chess problems in alphabetical order. For a list of unorthodox pieces used in chess problems, see Fairy chess piece; for a list of terms used in chess is general, see Glossary of chess; for a list of chess-related games, see List of chess variants."
Grimshaw,A Grimshaw is a device found in chess problems in which two black pieces arriving on a particular square mutually interfere with each other. It is named after the 19th-century problem composer Walter Grimshaw.
Walter Grimshaw,Walter Grimshaw (12 March 1832 – 27 December 1890) was a 19th-century British composer of chess problems. In 1854 he won the first ever chess problem solving competition in London.
Grid chess,right|frame|Grid chess sample position
Progressive chess,"Progressive chess is a chess variant in which players, rather than just making one move per turn, play progressively longer series of moves. The game starts with White making one move, then Black makes two consecutive moves, White replies with three, Black makes four and so on."
Novotny,"The Novotny (also often spelled as Nowotny, even in non-German sources) is a device found in chess problems named after its discoverer Antonín Novotný. A white piece is sacrificed on a square where it could be taken by two different black pieces - whichever black piece makes the capture, it interferes with the other."
Combination,"In chess, a combination is a sequence of moves, often initiated by a sacrifice, which leaves the opponent few options and results in tangible gain.  At most points in a chess game, each player has several reasonable options from which to choose, which makes it difficult to plan ahead except in strategic terms."
Albino,"An Albino is a type of chess problem, ""in which, at some point in the solution, a white Pawn on its starting square makes each of its four possible moves (forward one square, forward two squares, capture to the left, capture to the right).""Velimirovic, Milan and Valtonen, Kari (2012)."
Forsyth–Edwards Notation,Forsyth–Edwards Notation (FEN) is a standard notation for describing a particular board position of a chess game. The purpose of FEN is to provide all the necessary information to restart a game from a particular position.
Fifty-move rule,"The fifty-move rule in chess states that a player can claim a draw if no  has been made and no pawn has been moved in the last fifty moves (for this purpose a ""move"" consists of a player completing their turn followed by the opponent completing their turn). The purpose of this rule is to prevent a player with no chance of winning from obstinately continuing to play indefinitely , or seeking to win by tiring the opponent."
Plachutta,"The Plachutta is a device found in chess problems: a white piece sacrifices itself on a square where it could be captured by one of two similarly moving black pieces (for example, a bishop and a queen moving along a diagonal, or two rooks) moving along a different line; whichever black piece captures, it interferes with the other. Plachutta theme is named by Joseph Plachutta (1827–1883)."
Ken Whyld,"Kenneth Whyld (6 March 1926 – 11 July 2003) was a British chess author and researcher, best known as the co-author (with David Hooper) of The Oxford Companion to Chess, a single-volume chess reference work in English."
Chess,"Chess is a musical with music by Benny Andersson and Björn Ulvaeus of the pop group ABBA, lyrics by Tim Rice, and a book by Richard Nelson based on an idea by Rice. The story involves a politically driven, Cold War–era chess tournament between two grandmasters from America and the USSR and their fight over a woman who manages one and falls in love with the other."
Helpmate,"A helpmate is a type of chess problem in which both sides cooperate in order to achieve the goal of checkmating Black.  In a helpmate in n moves, Black moves first, then White, each side moving n times, to culminate in White's nth move checkmating Black."
Madrasi chess,"Madrasi chess is a chess variant invented in 1979 by Abdul Jabbar Karwatkar. The game uses the conventional rules of chess with the addition that when a piece is attacked by a piece of the same type but opposite colour (for example, a black queen attacking a white queen) it is paralysed and becomes unable to move, capture or give check."
Immortal Game,"The Immortal Game was a chess game played by Adolf Anderssen and Lionel Kieseritzky on 21 June 1851 in London, during a break of the first international tournament. The bold sacrifices made by Anderssen to secure victory have made it one of the most famous chess games of all time."
"Deep Blue versus Kasparov, 1996, Game 1","Deep Blue–Kasparov, 1996, Game 1 is a famous chess game in which a computer played against a human being. It was the first game played in the 1996 Deep Blue versus Garry Kasparov match, and the first time that a chess-playing computer defeated a reigning world champion under normal chess tournament conditions (in particular, standard time control; in this case 40 moves in two hours)."
Universal Chess Interface,A Universal Chess Interface (UCI) is an open communication protocol that enables chess engines to communicate with user interfaces.
Chess club,thumb|right|250px|Young and old playing in a chess club
Free Internet Chess Server,"The Free Internet Chess Server (FICS) is a volunteer-run Internet chess server. It was organised as a free alternative to the Internet Chess Club (ICC), after that site began charging for membership."
Chess as mental training,"There are efforts to use the game of chess as a tool to aid the intellectual development of young people. Chess is significant in cognitive psychology and artificial intelligence (AI) studies, because it represents the domain in which expert performance has been most intensively studied and measured."
USSR Chess Championship,"The USSR Chess Championship was played from 1921 to 1991. Organized by the USSR Chess Federation, it was the strongest national chess championship ever held, with eight world chess champions and four world championship finalists among its winners."
Andernach chess,"Andernach chess is a chess variant in which a piece making a capture (except kings) changes colour.Andernach Chess by Joost de Heer and Otto Janko For instance, if a white bishop on a2 were to capture a black knight on g8, the end result would be a black bishop on g8."
Russ Chauvenet,"Louis Russell ""Russ"" Chauvenet (February 12, 1920 – June 24, 2003) was a champion chess player and one of the founders of science fiction fandom."
Patrol chess,Patrol chess is a chess variant in which captures can be made and checks given only if the capturing or checking piece is guarded (or patrolled) by a friendly unit. Non-capturing and non-checking moves are played as normal.
Spanish Chess Championship,"The Spanish Chess Championship is contested annually under the auspices of the Federación Española de Ajedrez (FEDA), the governing body of chess in Spain, to determine the nation's chess champion. The first official championship was in 1928."
British Chess Championship,"The British Chess Championship is organised by the English Chess Federation. The main tournament incorporates the British Chess Championships, the English Chess Championships and the British Women's Chess Championship so it is possible, although it has never happened, for one player to win all three titles in the same competition."
Chess Player's Chronicle,"The Chess Player's Chronicle, founded by Howard Staunton and extant in 1841–56 and 1859–62, was the world's first successful English-language magazine devoted exclusively to chess. Various unrelated but identically or similarly named publications were published until 1902."
Proof game,"A proof game is a type of retrograde analysis chess problem. The solver must construct a game starting from the initial chess position, which ends with a given position (thus proving that that position is reachable) after a specified number of moves."
Ajeeb,"Ajeeb was a chess-playing ""automaton"", created by Charles Hooper (a cabinet maker), first presented at the Royal Polytechnical Institute in 1868.  A particularly intriguing piece of faux mechanical technology (while presented as entirely automated, it in fact concealed a strong human chess player inside), it drew scores of thousands of spectators to its games, the opponents for which included Harry Houdini, Theodore Roosevelt, and O."
ChessBase,"ChessBase GmbH is a German company that makes and sells chess software, maintains a chess news site, and operates servers for online chess. Founded in 1986, it maintains and sells massive databases, containing the moves of games from the dawn of history up to the present."
Lucena position,"The Lucena position is one of the most famous and important positions in chess endgame theory, where one side has a rook and a pawn and the defender has a rook. It is fundamental in the rook and pawn versus rook endgame."
Morphy versus the Duke of Brunswick and Count Isouard,"The chess game played in 1858 at an opera house in Paris between the American chess master Paul Morphy and two strong amateurs, the German noble Karl II, Duke of Brunswick and the French aristocrat Comte Isouard de Vauvenargues, is among the most famous of chess games. Duke Karl and Count Isouard consulted together, playing as partners against Morphy."
Hans Kmoch,"Johann ""Hans"" Joseph Kmoch (July 25, 1894 in Vienna – February 13, 1973 in New York City) was an Austrian-Dutch-American chess International Master (1950), International Arbiter (1951), and a chess journalist and author, for which he is best known."
X3D Fritz,"X3D Fritz was a version of the Fritz chess program, which in November 2003 played a four-game Human–computer chess match against world number one Grandmaster Garry Kasparov. The match was tied 2–2, with X3D Fritz winning game 2, Kasparov winning game 3 and drawing games 1 and 4."
Russian Chess Federation,"The Russian Chess Federation () is the governing body for chess in Russia and the officially recognized arm of the FIDE in Russia. It was founded on 15 February 1992, following the dissolution of the USSR Chess Federation."
South African Chess Championship,"The South African Chess Championship was first organised in 1892 by the Cape Town Chess Club. It is now organised by Chess South Africa (CHESSA), the governing body of chess in South Africa."
The Turk,"The Turk, also known as the Mechanical Turk or Automaton Chess Player (, ""chess Turk""; ), was a fake chess-playing machine constructed in the late 18th century. From 1770 until its destruction by fire in 1854 it was exhibited by various owners as an automaton, though it was eventually revealed to be an elaborate hoax."
"Waterside, Buckinghamshire","Waterside is a hamlet in the parish of Chesham, in Buckinghamshire, England.  It is located in the town itself, though anciently it referred to the group of dwellings next to the River Chess in Chesham."
Jonathan Penrose,"Jonathan Penrose, OBE (born 7 October 1933, in Colchester) is an English chess Grandmaster and International Correspondence Chess Grandmaster (1983) who won the British Chess Championship ten times between 1958 and 1969. He is the son of Lionel Penrose, a world-famous professor of genetics, the grandson of the physiologist John Beresford Leathes, and brother of Roger Penrose and Oliver Penrose."
Tata Steel Chess Tournament,"The Tata Steel Chess Tournament is an annual chess tournament held in January in Wijk aan Zee, the Netherlands. It was called the Hoogovens tournament  from its creation in 1938 until the sponsor Koninklijke Hoogovens merged with British Steel to form the Corus Group in 1999, after which the tournament was called the Corus chess tournament."
John Owen,John Owen (8 April 1827 in Marchington – 24 November 1901 in Twickenham) was an English vicar and strong amateur chess master. He ranked among the world's top ten chess players for certain periods of the 1860s.
Linares International Chess Tournament,"The Linares International Chess Tournament (Spanish: Torneo Internacional de Ajedrez Ciudad de Linares) was an annual chess tournament, usually played around the end of February, which takes its name from the city of Linares in the Jaén province of Andalusia, Spain, in which it is held. It is sometimes described as the Wimbledon of chess, being one of the strongest annual tournaments held on the de facto chess tour, along with the ""Tata Steel"" Wijk aan Zee, Tal Memorial and Dortmund events."
Arimaa,"Arimaa  () is a two-player strategy board game that was designed to be playable with a standard chess set and difficult for computers while still being easy to learn and fun to play for humans. Since 2004, the Arimaa community has held three annual tournaments: a World Championship (humans only), a Computer Championship (computers only), and the Arimaa Challenge (human vs."
Checkmate,Checkmate (often shortened to mate) is a game position in chess and other chess-like games in which a player's king is in check (threatened with ) and there is no way to remove the threat. Checkmating the opponent wins the game.
Versus de scachis,Versus de scachis is a Medieval Latin poem about chess. It is found on two manuscripts from Einsiedeln: MS Einsidlensis 365 and MS Einsidlensis 309.
Alexander McDonnell,"Alexander McDonnell (1798–1835) was an Irish chess master, who contested a series of six matches with the world's leading player Louis-Charles Mahé de La Bourdonnais in the summer of 1834."
George Atwood,"George Atwood (October 1745, London – 11 July 1807, London) was an English mathematician who invented a machine for illustrating the effects of Newton's first law of motion. He was also a renowned chess player whose skill for recording many games of his own and of other players, including François-André Danican Philidor, the leading master of his time, left a valuable historical record for future generations."
John Cochrane,John Cochrane (1798 – 2 March 1878) was a Scottish chess master and lawyer. After serving in the Royal Navy Cochrane chose to become a barrister.
Mir Sultan Khan,"Malik Mir Sultan Khan (1905 – 25 April 1966) was the strongest chess master of his time from Asia. A servant from British India, he travelled with Colonel Nawab Sir Umar Hayat Khan (Sir Umar), his master, to Britain, where he took the chess world by storm."
Alexander Zaitsev,"Alexander Nikolayevich Zaitsev (June 15, 1935 – October 31, 1971) was a leading Soviet chess grandmaster. He was born in Vladivostok, Russia."
Max Harmonist,"Max Harmonist (Berlin, 10 February 1864–16 October 1907) was a leading German chess master. He was probably the only famous chess player to have been by profession a ballet dancer."
Serafino Dubois,Serafino Dubois (10 October 1817 – 15 January 1899) was an Italian chess Master and chess writer. Dubois was certainly among the strongest players in the world during the 1850s.
Friedrich Amelung,"Friedrich Ludwig Balthasar Amelung ( – ) was a Baltic German cultural historian, businessman and chess endgame composer."
Chess middlegame,"The middlegame in chess refers to the portion of the game in between the opening and the endgame. There is no clear line between the opening and middlegame, and between the middlegame and endgame."
Timeline of chess,This is a timeline of chess.
Chess engine,"In computer chess, a chess engine is a computer program that analyzes chess or chess variant positions, and generates a move or list of moves that it regards as strongest.blog."
ChipTest,"ChipTest was a 1985 chess playing computer built by Feng-hsiung Hsu, Thomas Anantharaman and Murray Campbell at Carnegie Mellon University. It is the predecessor of Deep Thought which in turn evolved into Deep Blue."
HiTech,HiTech was a chess machine built at Carnegie Mellon University under the direction of World Correspondence Chess Champion Dr. Hans J.
Chess symbols in Unicode,right|frame|Font depictions of Unicode chess symbols (in the same order as the table).  Top: [[Arial Unicode MS font.
Alexey Troitsky,"Alexey Alexeyevich Troitsky, or Alexei, Troitzky, or Troitzki () (March 14, 1866–August 1942) is considered to have been one of the greatest composers of chess endgame studies.In the introduction to Collection of Chess Studies, Sam Sloan writes ""..."
Hermanis Matisons,"Hermanis Matisons (also known as Herman Mattison; 1894, Riga – 1932) was a Latvian chess player and one of world's most highly regarded chess masters in the early 1930s. He was also a leading composer of endgame studies."
Forchess,Forchess is a four-player chess variant developed by T. K.
Threefold repetition,"In chess and some other abstract strategy games, the threefold repetition rule (also known as repetition of position) states that a player can claim a draw if the same position occurs three times, or will occur after their next move, with the same player to move.  The repeated positions do not need to occur in succession."
Zwischenzug,"The zwischenzug (German:  ""intermediate move"") is a chess tactic in which a player, instead of playing the expected move (commonly a ), first interposes another move posing an immediate threat that the opponent must answer, and only then plays the expected move  . It is a move that has a high degree of ""initiative""."
Adriaan de Groot,"Adrianus Dingeman (Adriaan) de Groot (Santpoort,In the municipality of Velsen, according to some sources. 26 October 1914 – Schiermonnikoog, 14 August 2006) was a Dutch chess master and psychologist, who conducted some of the most famous chess experiments of all time in the 1940s-60."
David Levy,"David Neil Laurence Levy (born 14 March 1945) is a British International Master of chess, a businessman noted for his involvement with computer chess and artificial intelligence, and the founder of the Computer Olympiads and the Mind Sports Olympiads. He has written more than 40 books on chess and computers."
World Chess Championship 1972,"The World Chess Championship 1972 was a match for the World Chess Championship between challenger Bobby Fischer of the United States and defending champion Boris Spassky of the Soviet Union. The match took place in the Laugardalshöll arena in Reykjavík, Iceland, and has been dubbed the Match of the Century."
Retrograde analysis,"In chess problems, retrograde analysis is a technique employed  to determine which moves were played leading up to a given position.  While this technique is rarely needed for solving ordinary chess problems, there is a whole subgenre of chess problems in which it is an important part; such problems are known as retros."
The Royal Game,"The Royal Game (also known as Chess Story; in the original German Schachnovelle, ""Chess Novella"") is a novella by Austrian author Stefan Zweig first published in 1941, just before the author's death by suicide. In some editions, the title is used for a collection that also includes ""Amok"", ""Burning Secret"", ""Fear"", and ""Letter From an Unknown Woman""."
HMS Hogue,"HMS Hogue was a  of the Royal Navy that was commissioned during the Second World War. She was named after the Battle of La Hogue, fought between the British and French in 1692; the ship's badge a chess rook on a field blue, within a chaplet of laurel gold was derived from the arms of Admiral Sir George Rooke who distinguished himself at the battle."
Tempo,"In chess and other chess-like games, a tempo is a ""turn"" or single move. When a player achieves a desired result in one fewer move, the player is said to ""gain a tempo""; conversely, when a player takes one more move than necessary, the player is said to ""lose a tempo""."
Thomas Wilson Barnes,"Thomas Wilson Barnes (1825–1874) was an English chess master, one of the leading British masters of his time.  He went on a diet and lost 130 pounds(9st 4lb) in 10 months, which resulted in his death."
Irving Chernev,"Irving Chernev (January 29, 1900 – September 29, 1981) was a chess player and prolific Russian-American chess author. He was born in Pryluky in the Russian Empire (now in Ukraine)Who Was Who in America, With World Notables: 1982–1985, Vol."
List of game designers,"A game designer is a person who invents games at the conceptual level. Most game designers are ""unsung""; for example, no one knows who invented Chess or Hearts."
Free Choice 2008 Committee,The Free Choice 2008 Committee is an entity chaired by chess champion Garry Kasparov and dedicated to an unconditional adherence to fundamental democratic values.
Association of Chess Professionals,"The Association of Chess Professionals (ACP) is a non-profit organisation which aims to protect the rights of professional chess players, address their concerns and to promote chess worldwide through the organisation of high-level chess tournaments and maintaining a ranking system of the top professionals."
Professional Chess Association,"The Professional Chess Association (PCA), which existed between 1993 and 1996, was a rival organisation to FIDE, the international chess organization. The PCA was created in 1993 by Garry Kasparov and Nigel Short for the marketing and organization of their chess world championship."
John Littlewood,John Eric Littlewood (25 May 1931 – 16 September 2009) was for many years a leading British chess player and took the title of national senior champion in 2006. Perhaps his most famous game was the one he lost against the world champion Mikhail Botvinnik at the Hastings International Chess Congress 1961/2.
Overloading,Overloading (also overworking) is a chess tactic in which a defensive piece is given an additional defensive assignment which it cannot complete without abandoning its original defensive assignment.
Interference,"In the game of chess, interference occurs when the line between an attacked piece and its defender is interrupted by sacrificially interposing a piece. It is a chess tactic which seldom arises, and is therefore often overlooked."
En passant,"En passant (,  in passing) is a move in chess. It is a special pawn  that can only occur immediately after a pawn makes a double-step move from its starting square, and it could have been captured by an enemy pawn had it advanced only one square."
Kasparov versus the World,"Kasparov versus the World was a game of chess played in 1999 over the Internet. Conducting the white pieces, Garry Kasparov faced the rest of the world in consultation, with the World Team moves to be decided by plurality vote."
Dark chess,"Dark chess is a chess variant with incomplete information, similar to Kriegspiel. It was invented by Jens Bæk Nielsen and Torben Osted in 1989."
FIDE World Chess Championship 2004,"The FIDE World Chess Championship 2004 was held at the Almahary Hotel in Tripoli, Libya, from June 18 to July 13."
Generalized game,"In computational complexity theory, a generalized game is a game or puzzle that has been generalized so that it can be played on a board or grid of any size. For example, generalized chess is the game of chess played on an n×n board, with 2n pieces on each side."
Nathan Divinsky,"Nathan Joseph Harry Divinsky (October 29, 1925 – June 17, 2012) was a Canadian mathematician, university professor, chess master, chess writer, and chess official. Divinsky was also known for being the former husband of the 19th Prime Minister of Canada, Kim Campbell."
Makruk,"Makruk (; )), or Thai chess, is a board game that descended from the 6th-century Indian game of chaturanga or a close relative thereof, and therefore related to chess. It is regarded as the most similar living game to this common ancestor of all chess variants."
Delfi,Delfi is a Winboard/UCI chess engine written in Pascal designed by Italian chess programmer Fabio Cavicchio. It is designed to emulate a human playing style and is rated 2627 on the Chess Engines Grand Tournament.
Boris Alterman,"Boris Alterman (, ; born May 4, 1970) is an Israeli chess Grandmaster, FIDE Senior Trainer (2010), advisor of the Junior chess program.Shevah-Mofet school chess program"
Helmut Krausser,"Helmut Krausser (11 July 1964) is a German author, poet, playwright, composer and professional chess player who was born in Esslingen."
Iván Morovic,Iván Eduardo Morovic Fernández (born 24 March 1963) is a Chilean chess player with the title of International Grandmaster.
Fast chess,Fast chess (also known as speed chess) is a type of chess in which each player is given less time to consider their moves than normal tournament time controls allow. The rules specify a cumulative total time for moves for each side.
World Computer Chess Championship,World Computer Chess Championship (WCCC) is an annual event where computer chess engines compete against each other. The event is organized by the International Computer Games Association.
Deep Thought,Deep Thought was a computer designed to play chess. Deep Thought was initially developed at Carnegie Mellon University and later at IBM.
Chess notation,Chess notations are various systems that have developed to record either the moves made in a game of chess or the position of pieces on a chessboard. The earliest systems of notation used lengthy narratives to describe each move; these gradually evolved into terser notation systems.
Singapore Chess Federation,"The Singapore Chess Federation (Abbreviation: SCF) is the principal authority over all chess events in Singapore, and was founded in 1949. Its promotion of the game has caused participation in its youth and interschool events, among others, to jump from 517 in 1999 to over 1200 in 2004."
